"","X","person","day","cause_short","month","year","canine","dept_name","state","position"
"1",80,"Lieutenant John M. Brown","Sun","Stabbed","Dec",1845,FALSE,"Cherokee Nation Marshal Service"," TR","Lieutenant"
"2",780,"Chief of Police Albert D. Sterling","Wed","Assault","Apr",1882,FALSE,"San Carlos Apache Tribal Police Department"," TR","Chief of Police"
"3",795,"Chief of Police John L. Colvig","Thu","Gunfire","Jul",1882,FALSE,"San Carlos Apache Tribal Police Department"," TR","Chief of Police"
"4",924,"Captain Sam Cudgo","Sun","Gunfire","Mar",1885,FALSE,"Seminole Nation of Oklahoma Lighthorsemen Police"," TR","Captain"
"5",925,"Captain Thomas Cloud","Tue","Gunfire","Mar",1885,FALSE,"Seminole Nation of Oklahoma Lighthorsemen Police"," TR","Captain"
"6",1721,"Sheriff Jesse Sunday","Tue","Gunfire","Sep",1897,FALSE,"Cherokee Nation Marshal Service"," TR","Sheriff"
"7",2117,"Policeman Juan Lopez-Jimenez","Wed","Stabbed","Jan",1902,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"8",2541,"Lighthorseman Billy Cully","Sat","Assault","Feb",1906,FALSE,"Seminole Nation of Oklahoma Lighthorsemen Police"," TR","Police Officer"
"9",2677,"Policeman Jose S. Toledo","Fri","Gunfire","Jun",1907,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"10",2901,"Corporal Juan Roig-Loyola","Fri","Gunfire","Dec",1908,FALSE,"Puerto Rico Police Department"," PR","Corporal"
"11",2903,"Policeman Alberto Souffront","Fri","Unidentified","Jan",1909,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"12",3031,"Officer Adam Hawk","Mon","Gunfire","Feb",1910,FALSE,"Quinault Tribal Police Department"," TR","Police Officer"
"13",3032,"Officer John Williams","Mon","Gunfire","Feb",1910,FALSE,"Quinault Tribal Police Department"," TR","Police Officer"
"14",3079,"Corporal Jose R. Luccas-Maldonado","Sat","Gunfire","Jul",1910,FALSE,"Puerto Rico Police Department"," PR","Corporal"
"15",3122,"Policeman Andres Tirado","Sun","Stabbed","Nov",1910,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"16",3168,"Policeman Jose M. Lopez","Mon","Gunfire","Mar",1911,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"17",3232,"Chief of Police Jose Garcia-Torres","Sat","Gunfire","Jul",1911,FALSE,"Puerto Rico Police Department"," PR","Chief of Police"
"18",3639,"Policeman Juan A. Colon","Thu","Gunfire","Jul",1914,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"19",4093,"Chief of Police Emilio Girona-Vizcarrondo","Fri","Stabbed","Apr",1917,FALSE,"Puerto Rico Police Department"," PR","Chief of Police"
"20",4160,"Policeman Leonides Flores","Sun","Stabbed","Aug",1917,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"21",4367,"Policeman Francisco Rodriguez-Dipini","Wed","Gunfire","Sep",1918,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"22",4408,"Policeman Antonio Renaud-Goytia","Tue","Stabbed","Nov",1918,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"23",4426,"Policeman Jose R. Martinez","Wed","Gunfire","Jan",1919,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"24",4557,"Policeman Lazaro F. Plaud","Fri","Stabbed","Jul",1919,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"25",4629,"Policeman Juan Fernandez-Diaz","Mon","Gunfire","Oct",1919,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"26",4693,"Policeman Fermin Betances-Mendez","Wed","Gunfire","Feb",1920,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"27",5989,"Policeman Martin Parrilla-Ramos","Wed","Gunfire","Jan",1925,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"28",6231,"Policeman Hipolito Cardona","Thu","Gunfire","Nov",1925,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"29",6295,"Chief of Police Manuel Ferrer-Martinez","Wed","Explosion","Feb",1926,FALSE,"Puerto Rico Police Department"," PR","Chief of Police"
"30",6352,"Policeman Nazario Miranda-Hernandez","Wed","Gunfire","May",1926,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"31",6464,"Special Officer John MacLeod","Fri","Gunfire","Oct",1926,FALSE,"Crow Nation Tribal Police Department"," TR","Police Officer"
"32",6739,"Policeman Felipe Rodriguez-Martinez","Wed","Stabbed","Sep",1927,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"33",7105,"Policeman Pablo Cordero-Rosa","Mon","Stabbed","Jan",1929,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"34",7384,"Policeman Antonio Mojica-Vazquez","Wed","Gunfire","Jan",1930,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"35",7413,"Policeman Indalecio Garcia-Toro","Sun","Gunfire","Feb",1930,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"36",7509,"Policeman Ramon Martinez-Rios","Sun","Stabbed","Jun",1930,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"37",8099,"Policeman Luis A. Albarran-Feliciano","Sat","Drowned","May",1932,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"38",8150,"Policeman Jose S. Corales-Zaez","Sun","Gunfire","Jul",1932,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"39",8237,"Chief of Police Jose A. Sotero-Lugo","Fri","Gunfire","Oct",1932,FALSE,"Puerto Rico Police Department"," PR","Chief of Police"
"40",8238,"Policeman Domingo Montanez-Betancourt","Sun","Gunfire","Oct",1932,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"41",8482,"Policeman Ramon Portell-Patron","Sun","Stabbed","Sep",1933,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"42",8639,"Chief of Police Jose M. Lopez-Palermo","Wed","Gunfire","May",1934,FALSE,"Puerto Rico Police Department"," PR","Chief of Police"
"43",8817,"Policeman Isidoro Soto-Vale","Fri","Stabbed","Jan",1935,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"44",8819,"Policeman Jaime Matos-Rodriguez","Tue","Stabbed","Jan",1935,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"45",8984,"Policeman Jose T. Donate-Comacho","Thu","Gunfire","Oct",1935,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"46",9048,"Policeman Francisco Gandarilla-Mendez","Mon","Gunfire","Jan",1936,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"47",9073,"Colonel Francis E. Riggs","Sun","Gunfire","Feb",1936,FALSE,"Puerto Rico Police Department"," PR","Colonel"
"48",9138,"Policeman Orlando Colon-Torres","Fri","Gunfire","Jun",1936,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"49",9222,"Policeman Jose Filiciano-Colon","Fri","Gunfire","Oct",1936,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"50",9237,"Policeman Antonio Gonzalez-Cortes","Tue","Stabbed","Dec",1936,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"51",9302,"Policeman Ceferino Loyola-Lopez","Sun","Gunfire","Mar",1937,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
