"","person","day","cause_short","month","year","canine","dept_name","state","position"
"1","Constable Darius Quimby","Mon","Gunfire","Jan",1791,FALSE,"Albany County Constable's Office"," NY","Constable"
"2","Sheriff Cornelius Hogeboom","Sat","Gunfire","Oct",1791,FALSE,"Columbia County Sheriff's Office"," NY","Sheriff"
"3","Deputy Sheriff Isaac Smith","Thu","Gunfire","May",1792,FALSE,"Westchester County Sheriff's Department"," NY","Sheriff"
"4","Marshal Robert Forsyth","Sat","Gunfire","Jan",1794,FALSE,"United States Department of Justice - United States Marshals Service"," US","Marshal"
"5","Sheriff Robert Maxwell","Sun","Gunfire","Nov",1797,FALSE,"Greenville County Sheriff's Office"," SC","Sheriff"
"6","High Sheriff John Caldwell Cook","Tue","Gunfire","Oct",1804,FALSE,"Mecklenburg County Sheriff's Office"," NC","Sheriff"
"7","Watchman Christian Luswanger","Thu","Stabbed","Dec",1806,FALSE,"New York City Watch"," NY","Watchman"
"8","Deputy Sheriff John A. Gooch","Sat","Gunfire","Mar",1807,FALSE,"Livingston County Sheriff's Department"," KY","Sheriff"
"9","Deputy Sheriff Ebenezer Parker","Mon","Assault","Jan",1808,FALSE,"Cumberland County Sheriff's Office"," ME","Sheriff"
"10","Night Watchman George Workner","Tue","Stabbed","Mar",1808,FALSE,"Baltimore City Police Department"," MD","Watchman"
"11","Boatman Asa Marsh","Wed","Gunfire","Aug",1808,FALSE,"United States Department of the Treasury - Customs Service"," US","Boatman"
"12","Boatman Ellis Drake","Wed","Gunfire","Aug",1808,FALSE,"United States Department of the Treasury - Customs Service"," US","Boatman"
"13","Custom House Officer Daniel Miller","Mon","Gunfire","Jan",1810,FALSE,"United States Department of the Treasury - Customs Service"," US","Customs Officers"
"14","Deputy Sheriff John Tileston Downes","Mon","Gunfire","Jan",1811,FALSE,"Hancock County Sheriff's Department"," ME","Sheriff"
"15","Customs Inspector John Stout","Fri","Gunfire","Jan",1814,FALSE,"United States Department of the Treasury - Customs Service"," US","Customs Officers"
"16","Sheriff John Coor Pender","Mon","Gunfire","Jan",1816,FALSE,"Wayne County Sheriff's Office"," NC","Sheriff"
"17","Sheriff Caleb Hewitt","Mon","Assault","Sep",1816,FALSE,"Davidson County Sheriff's Office"," TN","Sheriff"
"18","Deputy Sheriff William Huddleston","Fri","Assault","Oct",1818,FALSE,"Schoharie County Sheriff's Department"," NY","Sheriff"
"19","Constable Jacob Dearduff, Sr.","Sat","Stabbed","Feb",1823,FALSE,"Jamestown Police Department"," OH","Constable"
"20","Constable Elijah Chenault","Mon","Assault","Aug",1823,FALSE,"Alexandria Police Department"," VA","Constable"
"21","Constable Robert Murphy","Thu","Stabbed","Nov",1824,FALSE,"Franklin County Sheriff's Department"," IN","Constable"
"22","Constable William Davidson","Thu","Gunfire","Apr",1825,FALSE,"Pennsylvania State Constable - Venango County"," PA","Constable"
"23","Watch Officer Jonathan Houghton","Mon","Assault","Dec",1825,FALSE,"Boston Watch"," MA","Watchman"
"24","Watchman Gerrard Arnold","Sun","Assault","Sep",1827,FALSE,"Alexandria Police Department"," VA","Watchman"
"25","Watchman Steven Heimer","Tue","Gunfire","Jan",1828,FALSE,"Philadelphia Police Department"," PA","Watchman"
"26","Sheriff Thomas Griffin Thornton","Sat","Gunfire","Jun",1830,FALSE,"Caroline County Sheriff's Office"," VA","Sheriff"
"27","Town Sergeant John Smith","Thu","Assault","Jun",1832,FALSE,"Foster Police Department"," RI","Sergeant"
"28","Guard Ezra Hoskins","Wed","Assault","May",1833,FALSE,"Connecticut Department of Correction"," CT","Guard"
"29","Sheriff William Gresham","Thu","Stabbed","Jan",1834,FALSE,"Harrison County Sheriff's Department"," IN","Sheriff"
"30","Constable Moore C. Wisdom","Sat","Stabbed","Aug",1834,FALSE,"Purdy Constable's Office"," TN","Constable"
"31","Watchman Lewis L. Leuba","Wed","Stabbed","Apr",1836,FALSE,"New York City Watch"," NY","Watchman"
"32","Constable William Mull","Thu","Stabbed","Apr",1836,FALSE,"St. Louis Metropolitan Police Department"," MO","Constable"
"33","Deputy Sheriff George Hammond","Thu","Stabbed","Apr",1836,FALSE,"St. Louis Metropolitan Police Department"," MO","Sheriff"
